Year,Players,Match,Innings,Runs,HS,average,Total Dismissals,LBW Dismissals,% LBW Dismissals,100,50,0
1985,110,21,609,16887,215,27.72,609,87,14.28%,30,80,59
1986,129,30,835,21265,210,25.46,835,151,18.08%,40,91,93
1987,123,25,684,18050,260,26.38,684,104,15.21%,30,84,80
1988,125,24,747,17596,211,23.55,747,133,17.80%,20,83,86
1989,119,21,574,17650,271,30.74,574,104,18.12%,36,84,59
1990,125,26,767,18632,333,24.29,767,162,21.12%,35,71,118
1991,101,21,617,15904,299,25.77,617,105,17.02%,24,78,77
1992,153,26,801,20422,206,25.49,801,123,15.36%,39,104,100
1993,169,36,1027,26757,277,26.05,1027,185,18.01%,38,146,141
1994,163,38,1191,32120,375,26.96,1191,199,16.70%,46,163,143
1995,172,40,1209,29476,219,24.38,1209,168,13.90%,38,152,163
1996,167,28,895,21442,208,23.95,895,161,17.99%,35,104,109
1997,168,44,1314,34751,340,26.44,1314,178,13.55%,64,165,163
1998,188,45,1431,33463,223,23.38,1431,244,17.06%,48,159,203
1999,187,43,1312,32076,275,24.44,1312,229,17.45%,56,150,205
2000,194,46,1398,31578,223,22.58,1398,237,16.95%,49,136,185
2001,214,55,1642,43843,281,26.7,1642,250,15.23%,77,225,235
2002,208,54,1666,44255,329,26.56,1666,297,17.83%,82,197,246
2003,197,44,1347,39413,380,29.25,1347,260,19.30%,82,164,160
2004,208,51,1605,45434,309,28.3,1605,262,16.32%,91,207,197
2005,193,49,1554,42851,317,27.57,1554,266,17.12%,86,177,197
2006,158,46,1446,40920,374,28.29,1446,251,17.36%,75,184,181
2007,146,31,945,25642,239,27.13,945,156,16.51%,44,125,115
2008,157,47,1484,40587,319,27.34,1485,247,16.64%,77,189,168
2009,165,40,1252,39531,313,31.57,1252,223,17.82%,80,192,147
2010,168,43,1298,37972,333,29.25,1298,219,16.87%,75,186,149
2011,180,39,1270,34282,294,26.99,1270,222,17.48%,56,184,157
2012,174,42,1306,35174,260,26.93,1306,255,19.53%,67,153,165
2013,192,44,1416,37803,234,26.69,1416,227,16.03%,76,176,177
2014,190,41,1336,39368,319,29.46,1336,207,15.50%,84,175,151
2015,166,43,1366,37210,290,27.24,1366,203,14.87%,67,173,169
2016,193,47,1474,40036,258,27.16,1474,275,18.66%,69,193,177
2017,190,47,1542,41332,243,26.8,1542,247,16.02%,74,203,173
2018,212,48,1677,37765,196,22.51,1678,296,17.65%,49,190,242
2019,200,39,1220,30658,243,25.12,1220,187,15.32%,53,145,167
2020,147,22,670,17109,267,25.53,670,112,16.71%,19,88,80
2021,190,33,1061,25368,244,23.9,1061,178,16.78%,35,121,179